asin,text,title,location_and_date,verified,rating
B01070FUDE,运送速度挺快的，但是整个药包装印刷比较模糊，有那种颜色写在宣纸上的感觉,这个包装是不是有问题,2019年4月15日,True,4.0
B01070FUDE,非常好！,非常好,2023年4月19日,True,5.0
B01070FUDE,工作性质存在夜班，心脏和记忆力都受到影响，吃辅酶Q10和这个，会舒服一点。很特别的是，吃这个omega-3（别的omega-3我还没吃过，所以不确定是牌子品控还是omega-3本身的作用）期间脑子转得比之前要快，以前有讲了一件事情之后在余下的谈话里重复的问题（我理解是短期记忆出了问题），因为本身有adhd所以一直管这个事情是一种必然进程，没想到不是，更没想到持续可逆。年初阳了之后心功能下降所以我暂停了专注达的服用，但是吃了这个之后短期记忆这块短板也算是没了，经常性跟人social和对接工作时意识到对方在重复之前的车轱辘话，我以前竟然没注意到！（专注达不会天天吃，只在不需要跟外界互动的大块时间段用于赶ddl和肝论文）真的很意外，也很惊喜。所以特来补货😄,夜班党觉得有用,2023年3月16日,True,5.0
B01070FUDE,我是腔梗，购买磷虾油主要用于消栓。货已经收到了，看似正品。吃完了看看效果再评论。,五星好评,2021年5月4日,True,5.0
B01070FUDE,听老婆说，可以降血脂，消血栓，家人在服用中，等效果出来再追评。,等待追评,2019年12月28日,True,5.0
B07B6JK21Z,印刷不清，瓶盖口有胶水济。,像假的货,2020年11月19日,True,2.0
B01070FUDE,运送速度挺快的，但是整个药包装印刷比较模糊，有那种颜色写在宣纸上的感觉,这个包装是不是有问题,2019年4月15日,True,4.0
B01070FUDE,非常好！,非常好,2023年4月19日,True,5.0
B01070FUDE,工作性质存在夜班，心脏和记忆力都受到影响，吃辅酶Q10和这个，会舒服一点。很特别的是，吃这个omega-3（别的omega-3我还没吃过，所以不确定是牌子品控还是omega-3本身的作用）期间脑子转得比之前要快，以前有讲了一件事情之后在余下的谈话里重复的问题（我理解是短期记忆出了问题），因为本身有adhd所以一直管这个事情是一种必然进程，没想到不是，更没想到持续可逆。年初阳了之后心功能下降所以我暂停了专注达的服用，但是吃了这个之后短期记忆这块短板也算是没了，经常性跟人social和对接工作时意识到对方在重复之前的车轱辘话，我以前竟然没注意到！（专注达不会天天吃，只在不需要跟外界互动的大块时间段用于赶ddl和肝论文）真的很意外，也很惊喜。所以特来补货😄,夜班党觉得有用,2023年3月16日,True,5.0
B01070FUDE,我是腔梗，购买磷虾油主要用于消栓。货已经收到了，看似正品。吃完了看看效果再评论。,五星好评,2021年5月4日,True,5.0
B01070FUDE,听老婆说，可以降血脂，消血栓，家人在服用中，等效果出来再追评。,等待追评,2019年12月28日,True,5.0
B07B6JK21Z,印刷不清，瓶盖口有胶水济。,像假的货,2020年11月19日,True,2.0
B01070FUDE,运送速度挺快的，但是整个药包装印刷比较模糊，有那种颜色写在宣纸上的感觉,这个包装是不是有问题,2019年4月15日,True,4.0
B01070FUDE,非常好！,非常好,2023年4月19日,True,5.0
B01070FUDE,工作性质存在夜班，心脏和记忆力都受到影响，吃辅酶Q10和这个，会舒服一点。很特别的是，吃这个omega-3（别的omega-3我还没吃过，所以不确定是牌子品控还是omega-3本身的作用）期间脑子转得比之前要快，以前有讲了一件事情之后在余下的谈话里重复的问题（我理解是短期记忆出了问题），因为本身有adhd所以一直管这个事情是一种必然进程，没想到不是，更没想到持续可逆。年初阳了之后心功能下降所以我暂停了专注达的服用，但是吃了这个之后短期记忆这块短板也算是没了，经常性跟人social和对接工作时意识到对方在重复之前的车轱辘话，我以前竟然没注意到！（专注达不会天天吃，只在不需要跟外界互动的大块时间段用于赶ddl和肝论文）真的很意外，也很惊喜。所以特来补货😄,夜班党觉得有用,2023年3月16日,True,5.0
B01070FUDE,我是腔梗，购买磷虾油主要用于消栓。货已经收到了，看似正品。吃完了看看效果再评论。,五星好评,2021年5月4日,True,5.0
B01070FUDE,听老婆说，可以降血脂，消血栓，家人在服用中，等效果出来再追评。,等待追评,2019年12月28日,True,5.0
B07B6JK21Z,印刷不清，瓶盖口有胶水济。,像假的货,2020年11月19日,True,2.0
B01070FUDE,运送速度挺快的，但是整个药包装印刷比较模糊，有那种颜色写在宣纸上的感觉,这个包装是不是有问题,2019年4月15日,True,4.0
B01070FUDE,非常好！,非常好,2023年4月19日,True,5.0
B01070FUDE,工作性质存在夜班，心脏和记忆力都受到影响，吃辅酶Q10和这个，会舒服一点。很特别的是，吃这个omega-3（别的omega-3我还没吃过，所以不确定是牌子品控还是omega-3本身的作用）期间脑子转得比之前要快，以前有讲了一件事情之后在余下的谈话里重复的问题（我理解是短期记忆出了问题），因为本身有adhd所以一直管这个事情是一种必然进程，没想到不是，更没想到持续可逆。年初阳了之后心功能下降所以我暂停了专注达的服用，但是吃了这个之后短期记忆这块短板也算是没了，经常性跟人social和对接工作时意识到对方在重复之前的车轱辘话，我以前竟然没注意到！（专注达不会天天吃，只在不需要跟外界互动的大块时间段用于赶ddl和肝论文）真的很意外，也很惊喜。所以特来补货😄,夜班党觉得有用,2023年3月16日,True,5.0
B01070FUDE,我是腔梗，购买磷虾油主要用于消栓。货已经收到了，看似正品。吃完了看看效果再评论。,五星好评,2021年5月4日,True,5.0
B01070FUDE,听老婆说，可以降血脂，消血栓，家人在服用中，等效果出来再追评。,等待追评,2019年12月28日,True,5.0
B07B6JK21Z,印刷不清，瓶盖口有胶水济。,像假的货,2020年11月19日,True,2.0
B004UJ84QO,包装不好，瓶盖直接被摔裂开。,刚收到，打开包装发现瓶盖裂开了.,2018年12月3日,True,1.0
B004UJ84QO,包装太差了 明明知道是国外运过来 就这么简陋的包装 打开完全碎了 全是玻璃碎片 很失望的一次购物,包装全碎了,2017年1月16日,True,1.0
B004UJ84QO,21年6月下的单，7月到的货，年底就过期，几年前生产的货。,临期产品,2021年8月26日,False,1.0
B004UJ84QO,瓶盖这样了。。。还好有层薄膜。。。,瓶盖碎了快,2017年9月12日,True,2.0
B004UJ84QO,海水是持续流动的，污染也在扩散，如果没有蒸馏纯化，怎么能保证质量合格！,新鲜未必是健康,2017年10月17日,False,1.0
B004UJ84QO,两个大瓶子居然没有碎瓶。,很不错,2017年2月5日,True,5.0
B004UJ84QO,第一次买，看着应该不错。吃一段时间试试,不错,2017年3月22日,True,5.0
B004UJ84QO,非常好的鱼油。在美国销量也很好。希望赶紧补货。,断货了,2017年4月14日,True,5.0
